"Contact Name","Opportunity Name","Opportunity Description","Opportunity Id","Created","Updated","Owner","Milestone","Probability","Estimated Value","Currency","EUR Value","Duration Basis","Duration","Value per Duration","Actual Close Date","Expected Close Date","Contact Id","Email","Phone","Address","Tags","Quotation","Product type","Region","Type of Client","Source of lead","Out of Scope","Lost Reason"
"PETER HEIN KÜHLANLAGENBAU","1 x 10kw ceiling suspended","","10626161","2021-01-28","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","210371215",""," +49 4461 4626","PETER HEIN KÜHLANLAGENBAU, Am Hillernsen Hamm 79, Germany","","2021PETERH01","","","","","",""
"APAC","1 x 12 kw bij 45 graden","","10216240","2020-10-08","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","205998453","","030-2416850","Krommewetering 131, 3543 AN, UTRECHT, Netherlands","","","","","","","",""
"Team Clim Alsace","1 x 12,5 ducted daikin","","10931114","2021-04-16","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","200481585",""," +33 6 70 74 79 28","France","","2021CLIMALSACE01","","","","","",""
"Arizona Electric Power Cooperatives","1 x 12000btu indoor atex","","11228102","2021-07-05","2021-07-05","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","216883873","","","1000 AZ-80, Benson, AZ 85602, United States, United States","","2021ARIZONA01","Airconditioner","","End-user","Ex-M website","",""
"Pongsiriair Co. Llt","1 x 14 kw ceiling suspended","","10176229","2020-09-28","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","205483026","","","Thailand","","","","","","","",""
"HITECH DIŞ TICARET A.Ş.","1 x 14kw floor standing 52 graden","","11281170","2021-07-16","2021-07-16","Liesbeth van Tienhoven","Proposal","50%","11000.00","EUR","11000.00","fixed","","11000.00","","","217342635","","","Yenişehir mah. Mustafa Akyol street MVK WORK SQUARE NO:13 A2/enter Floor:7 no:192, P.O.Box:34912 Pendik/ ISTANBUL/ Turkey, Istanbul, Turkey","","2021HITECH01","Airconditioner","Eastern Europe","Trade Agent","Ex-M website","",""
"Apleona HSG","1 x 2.5kw zone 2 en 22 west europees klimaat","","10875783","2021-04-01","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","212798409","","","Rheinberg, Germany","","2021APLEONA01","","","","","",""
"Phuel Oil Tools Ltd","1 x 2.6 AC Samsung for container","","10143850","2020-09-17","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","204981327",""," +44 1224 820016","Unit 12, Barratt Trading Estate, Denmore Rd, Bridge of Don, Aberdeen AB23 8JW, United Kingdom, United Kingdom","","2020PHUEL01","","","","","",""
"Grupa LOTOS","1 x 2.6 samsung via lotos.logintrade.net","","11065327","2021-05-21","2021-06-22","Liesbeth van Tienhoven","Lost","0%","3100.00","EUR","3100.00","fixed","","3100.00","2021-06-17","","205721332","","","ul. Elbląska 135, 80-718 Gdańsk, Poland","","2021LOTOS01 02","Airconditioner","Eastern Europe","Trade Agent","Ex-M website","",""
"IS Engineering AG","1 x 2.6kW samsung","","11156534","2021-06-16","2021-06-16","Liesbeth van Tienhoven","Proposal","50%","4000.00","EUR","4000.00","fixed","","4000.00","","","216069185","","","Indonesia","","2021ISENG01","Airconditioner","Asia","End-user","Ex-M website","",""
"Victory Express General Trading LLC","1 x 2400 btu","","11219559","2021-07-02","2021-07-02","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","216802217","","","P.O. Box: 56081; Dubai, UAE, United Arab Emirates","","2021VICTORY01","Airconditioner","Middle-East","Trade Agent","Ex-M website","",""
"Aarya Engineering FZC","1 x 2kW 52 graden","","11049758","2021-05-18","2021-05-18","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","201477805","info@aaryaengineering.net","0097165575118","PO BOX # 9505, , Sharjah International Airport Free Zone, , Sharjah - United Arab Emirates, United Arab Emirates","","2021AARYA01","Airconditioner","Middle-East","End-user","Other","",""
"u On Marine L.L.C.","1 x 2kw ftx daikin","","11268334","2021-07-15","2021-07-21","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","217293428","","","P.O. Box 26677, Dubai, U.A.E, Dubai, United Arab Emirates","","2021UONMARINE01","Airconditioner","Middle-East","Installer","Ex-M website","",""
"MGT Group","1 x 2rt window","","11173154","2021-06-21","2021-06-21","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","216267308","","","P.O. Box 4191 | Dubai | United Arab Emirates, United Arab Emirates","","","","","","","",""
"Defense Support Services","1 x 3,5 Daikin +52 graden","","10536481","2021-01-04","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","209228870","","","P6-71 SAIF ZONE, P.O. BOX: 9460, SHARJAH, United Arab Emirates","","2021DSS01","","","","","",""
"De Jong Installatieservice B.V.","1 x 3,5 en 1 x 12,5 ATEX AC","","10503787","2020-12-16","2021-05-11","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-12-21","","208878649","","0184-420132","home, , zakelijk, , particulier, , duurzaam, , technieken, , scheepvaart, , De Jong Installatieservice, , Leemansstraat 10, , 3364 AG Sliedrecht, Netherlands","","2020JONG01","","","","","",""
"ACC","1 x 3.5 kw samsung en daikin","","11317213","2021-07-27","2021-07-27","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","217661787","","","Av. Troncal de Occidente No. 11E - 03, Parque Agroindustrial de la Sabana, Bodega 56, Mosquera, Colombia","","","","","","","",""
"Nuova Maxcalor Condizionamento Aria-Impianti","1 x 3.5 samsung","","10246648","2020-10-16","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","206498485",""," +39 010 698 7108","Via Multedo di Pegli, 145R, 16155 Genova GE, Italy","","2020MAXCA01","","","","","",""
"Dummy Bedrijf","1 x 3.5kW ATEX zone 2 air conditioner","","11321732","2021-07-28","2021-07-28","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","217687144","e.c.vantienhoven@gmail.com"," +31 20 12345678","De Hoog 6, Hendrik Ido Ambacht, Netherlands","","","","","","","",""
"Contract Resources","1 x 3.5kw bi bu daikin of sams","","11268855","2021-07-15","2021-07-15","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","217297335","","","ICAD - 1 Musaffah, Abu Dhabi, United Arab Emirates","","2021CONTRR01 en 02","Airconditioner","Middle-East","Trade Agent","Ex-M website","",""
"EPLONE General Trading LLC","1 x 3.5kw daikin 52 graden","","11219751","2021-07-02","2021-07-02","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","216803136","","","Dubai, United Arab Emirates","","2021EPL01","Airconditioner","Middle-East","Trade Agent","Ex-M website","",""
"Explorer Terra Energy Sdn Bhd.","1 x 3.5kw mitsubushi offshore container","","10481674","2020-12-09","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","208725974",""," +6088 203434","157-1,Jalan PUJ 3/3, Taman Puncak Jalil,, 43300 Seri Kembangan, Selangor., Malaysia","","2020EXPLORER01","","","","","",""
"Remprodex Sp. z o.o.","1 x 3.5kw samsung","","10914921","2021-04-13","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","200102451","","tel. (+48 59)83 42 288","ul. Jerzego z Dąbrowy 3, , 77-300 Człuchów","","2021REMPROAC02 03","","","","","",""
"Wastadeb Contracting Services Limited","1 x 3hp AC","","10529826","2020-12-30","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","209131503","","","25,Omolleranstreet,Pap-Ajao,Mushin,Lagos,Lagos, Nigeria","","2020WASTA01","","","","","",""
"Eltechma Instalacje Sp. z o.o.","1 x 3kw cassette","","10926692","2021-04-15","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","213371295",""," +48 717954089","ul. Skarbowców 4, 53-025 Wrocław, Poland","","2021ELTECHMA01","","","","","",""
"Al Nukhba Energy Co.","1 x 3rt","","10721895","2021-02-22","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","211324595","","","Tower a Suite 1127, JAFZA one, Dubai","","2021ALNUKHBA01","","","","","",""
"UPR LLC","1 x 4kw tropical H198 expl proof split units 99081","","10901228","2021-04-09","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","200102312",""," +971 4 326 8110","P.O.Box 49528, Dubai, United Arab Emirates, United Arab Emirates","","2021UPRLLC03","","","","","",""
"ENVIBOW Norbert Weiß e.K.","1 x 4kw voor container in hal","","11189348","2021-06-24","2021-06-24","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","202823970",""," +49 2206/911707","An den Gärten 15, , 51491 Overath, Germany","","2021ENVIBOW03","Airconditioner","Western Europe","Installer","Ex-M website","",""
"Alammulia Teknologi Sdn Bhd","1 x 5.7kw redundant bin en buiten","","11158393","2021-06-16","2021-06-17","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","216083027","","","No 16, Ara Permata, Jalan PJU 1A/42A, Ara Damansara, 47301 Petaling Jaya, Selangor, Malaysia","","","Airconditioner","Asia","OEM","Ex-M website","",""
"TECOTRADING SRL","1 x 5kw ac","","10652743","2021-02-04","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","210630151",""," +34 577 754044","S.S. 73 Ponente 188 - 53100 Siena, Italy","","2021TECOTRADING01","","","","","",""
"Sinotharwa Drilling Company LLC","1 x 5kw driller cabin","","10545192","2021-01-06","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","209291955","","","CAIRO MAIN OFFICE, 16W/6, NASR St, MAADI, CAIRO, Egypt","","2021SINOT01","","","","","",""
"Comtech Systems, Inc","1 x 5kw of hoger met offshore coating snelle levering","","10637667","2021-02-01","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","210463191","","","United States","","","","","","","",""
"Catur Mitra Teknologi Company","1 x 5kw Samsung","","10937543","2021-04-19","2021-04-23","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","213482514","","","Indonesia","","2021CATUR01","","","","","",""
"V.I.T.T. Gebäudetechnik GmbH","1 x 6kw mr slim","","10962526","2021-04-25","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","213674775","","","Dillenburgerstr. 24, 57299 Burbach, Germany","","2021VITT01","","","","","",""
"Gulf Technical Equipment & Hydraulic Factory LLC (GTE)","1 x 7kw","","11157977","2021-06-16","2021-06-16","Liesbeth van Tienhoven","Proposal","50%","4000.00","EUR","4000.00","fixed","","4000.00","","","201642546",""," +97125546777","United Arab Emirates","","2021GTE01","Airconditioner","Middle-East","End-user","Ex-M website","",""
"Indorama","1 x 7kw en 1 x 10 kw","","10427099","2020-11-23","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","208185470","","","Nigeria","","2020INDORAMA01","","","","","",""
"S.E.I.D. S.r.l.","1 x 7kw high ambient","","10522688","2020-12-23","2021-05-11","Liesbeth van Tienhoven","Won","100%","","","","fixed","","","2021-03-18","","209052106","","","Via Vittorio Veneto, 125/I – 24020 Songavazzo (BG)","","2020SEID01","","","","","",""
"Industrial Frigo Polska","1 x 7kw indoor atex, wil distributeur worden.","","11215511","2021-07-01","2021-07-09","Liesbeth van Tienhoven","Proposal","50%","4133.00","EUR","4133.00","fixed","","4133.00","","","216743447","biuro@industrialfrigo.pl","","ul. Słowackiego 88A, , 32-400 Myślenice, Poland","","2021INDUSTRIALF01","Airconditioner","Eastern Europe","Installer","Ex-M website","",""
"Technigroup NV","1 x 9.5kW","","11272630","2021-07-15","2021-07-16","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","200102292","info@technigroup.be","","Diamantstraat 3, BE 2200 Herentals","","2021TECHNI10","Airconditioner","Western Europe","Installer","Returning customer","",""
"APEX","1 x 9.5kw samsung","","11173725","2021-06-21","2021-06-21","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","216271596","","","42 El Oroba St., New Maadi, Cairo Egypt, Egypt","","2021APEX01","Airconditioner","Africa","Installer","Ex-M website","",""
"Silverback Distribution","1 x 9.5kW samsung","","11194512","2021-06-25","2021-06-25","Liesbeth van Tienhoven","Proposal","50%","8000.00","EUR","8000.00","fixed","","8000.00","","","216551829","","","17657 Telge Road, Cypress, TX 77429, United States","","2021SILVERBACK01 02","Airconditioner","","Trade Agent","Ex-M website","",""
"Air Royal Pte. Ltd","1 x 9000btu ac","","10897588","2021-04-08","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","207765196","","(+65) – 6744 8781","Number 625, Aljunied Road, Aljunied Industrial Complex, Hex 06 -07, Singapore 389836., Singapore","","2021AIRROYAL01","","","","","",""
"Titan International Ltd","1 x AC bi atex chemical container","","10867603","2021-03-30","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","212743558","info@titan.mizzi.com.mt"," +356 23474000","The Lyric, Triq Antonio Bosio, Msida, Malta","","2021TITAN01","","","","","",""
"Cinqtech Nigeria Limited","1 x AC ca 9kw","","10577837","2021-01-15","2021-01-18","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","209852566","","","79, Abeokuta Expressway, Opppostie Oando Filling Station Dopemu, Lagos, Nigeria","","","","","","","",""
"JUBOB Keystone Engineering Nigeria Ltd.","1 x ac off shore","","11015460","2021-05-09","2021-05-11","Gido van Tienhoven","New","10%","","","","fixed","","","","","214211607","","","Suite 500, Bianca Plaza, Precious Palm Royal Hotel, Ugbowo, Benin City, Edo State, Nigeria, Nigeria","","","","","","","",""
"Dummu bedrijf Gido","1 x ATEX zone 2 Air Conditioner Oil Rig","","11321921","2021-07-28","2021-07-28","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","217696931","","","Barentszstraat 33, Den Haag, 2518 XC, Netherlands","","","Airconditioner","Western Europe","Installer","Ex-M website","",""
"Metagro B.V.","1 x atex zone 2, 3,5 kw voor kraancabien","","10962514","2021-04-25","2021-04-28","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","213545801",""," +31 (0)85 484 3900","Rietweg 5, 4209 DA Schelluinen, Netherlands","","","","","","","",""
"Akermas Energy Limited","1 x camera","","11219672","2021-07-02","2021-07-02","Liesbeth van Tienhoven","Proposal","50%","1299.00","EUR","1299.00","fixed","","1299.00","","","216802745",""," +234.1.6328147","207B Muri Okunola Street,, , Victoria Island, Lagos State., Nigeria","","OZC2021AKERMAS01","Camera","Africa","Trade Agent","Ex-M website","",""
"SOLAS MARINE SERVICES GROUP","1 x cassette en 1  x ceiling cassette","","10504034","2020-12-16","2020-12-16","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","203041754","sales@solasmarine.com"," +971 4 279 1300","SOBHA IVORY II,, BUSINESS BAY,, P.O. BOX 25445,, DUBAI, UAE, United Arab Emirates","","","","","","","",""
"Imatech BV","1 x exm wbb52 bin en buiten","","11220643","2021-07-02","2021-07-02","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","216808215","info@imatech.nl","0181313944","Christiaan Huygensweg 24, 3225 LD Hellevoetsluis, Netherlands","","2021IMATECH01","Airconditioner","Western Europe","Installer","Ex-M website","",""
"Orill Oilfield Supplies LLC","1 x Friedrich AC window","","11063492","2021-05-21","2021-05-21","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2021-05-21","","200102430",""," +971 (0) 43499266","Apricot tower,Office No 501-2, Po Box : 624530,Dubai. UAE","","","","","","","",""
"Petronas Technical Services Sdn Bhd","1 x kleine AC","","10314531","2020-11-05","2020-11-05","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","207354695",""," +603 2051 5000","Tower 1, PETRONAS Twin Towers, , Kuala Lumpur City Centre, , 50088 Kuala Lumpur, Malaysia, Malaysia","","","","","","","",""
"TEHNIMARKET","1 x multi split of 1 x single split indoor atex","","10653057","2021-02-04","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","210631795","","","","","2021TEHNIMARKET01 en 02","","","","","",""
"ACTM","1 x multisplit buiten atex","","10996994","2021-05-04","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","213956962","","","21, Coopérative ENNADJAH II, OUED BOUCHEBOUK, DELY BRAHIM, Algeria","","","","","","","",""
"SOLAS MARINE SERVICES GROUP","1 x rac 2kw","","10545082","2021-01-06","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","203041754","sales@solasmarine.com"," +971 4 279 1300","SOBHA IVORY II,, BUSINESS BAY,, P.O. BOX 25445,, DUBAI, UAE, United Arab Emirates","","2021SOLAS01","","","","","",""
"JUNIA-T Ltd, NIET AANBIEDEN, partner Daan zie website","1 x rac 3.5kW indoor atex, outdoor standaard","","10866546","2021-03-30","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","200102176","junia_t@abv.bg"," + 359 886 09 09 68","Ihtiman, 35 Stippon St., BULGARIA","","2021JUNA04","","","","","",""
"ND Service","1 x rac 3.5kw outdoor atex zone 2","","10577935","2021-01-15","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","209853426","sekretariat@ndservice.pl"," +48 663 220 882","Kontenerowa 30; 81-155 Gdynia, Poland","","2021NDSERV01","","","","","",""
"Total Olefins Antwerp","1 x Samsung 5kw","","11181999","2021-06-22","2021-07-06","Gido van Tienhoven","Proposal","50%","11000.00","EUR","11000.00","fixed","","11000.00","","","216342646","","","scheldelaan 10, B 2030 Antwerpen, Belgium","","2021TOTALE01 02","Airconditioner","Western Europe","End-user","Ex-M website","",""
"TF Solutions Air Conditioning and Refrigeration","1 x samsung indoor only","","10487410","2020-12-10","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","208759280","","","meerdere vestigingen in uk, onduidelijke welke, United Kingdom","","2020TFSOLUT01","","","","","",""
"Brilliance MAHK Trading (Shanghai) Co., Ltd.","1 x single split 18.000BTU","","9645344","2020-06-08","2021-05-11","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-07-20","","201101760",""," +86 21 6351 1513 / -1519","Rm 1008, Central Park Pudong, No. 2399  ZhangYang Road, Pudong New Area, Shanghai 200135, China","","2019MAHK01","","","","","","Abandoned"
"Prezioso Emdad LLC","1 x split unit AC","","10266594","2020-10-22","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","204842703",""," +971 2 551 0243","MusaffahMusaffah Industrial - Abu Dhabi, United Arab Emirates","","2020PREZIO02","","","","","",""
"DC-SUPPLY A/S","1 x WBB26 denemarken","","10823905","2021-03-18","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","200102433","info@dc-supply.dk","Tel.: +45 70 23 13 80","Virkelyst 8, DK-9400 Noerresundby","","","","","","","",""
"Egyptian Drilling Company","1 x window ac","","11173973","2021-06-21","2021-06-21","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","200102215",""," +2022406 2222","KM 17.5 Cairo Suez Desert Rd- Nasr City House","","","","","","","",""
"IOT Holland","1 x window AC 60Hz","","11328195","2021-07-29","2021-07-29","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2021-07-29","","217734572",""," +31 (0)72 - 533 32 22","Boekel 36, Akersloot, 1921 CE, Netherlands","","","Airconditioner","Western Europe","Trade Agent","Ex-M website","true",""
"Askews Ltd","1 x window cooling and heating 3.5kw","","11147072","2021-06-14","2021-06-14","Liesbeth van Tienhoven","Proposal","50%","5700.00","EUR","5700.00","fixed","","5700.00","","","215960924",""," +44 1282 863825","Calderbank Mill, Greenfield Road, Colne, Lancashire, BB8 9PD, United Kingdom","","2021ASKEW01","Airconditioner","Western Europe","Installer","ExproofAC Site","",""
"Pak-Arab Refinery Limited","1.5 en 2 rt","","10237111","2020-10-14","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","200102610","","UAN: (021) 111-392-567","Corporate Headquarters, Korangi Creek Road, Karachi-75190, Pakistan., Pakistan","","","","","","","",""
"TCI Sanmar Chemicals S.A.E.","1.5HP en 2.2.5 HP pvc fabriek in egypte en soda.","","10196529","2020-10-02","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","205753855",""," +20 (0)2- 066 - 3793737 ext. 3737","Industrial Area (C9) El Raswa, Port Said, Egypt","","2020TCISANMAR01","","","","","",""
"Fauji Fertilizer Company Limited","1.5T zone 2 / 5.3 kw","","9726797","2020-06-26","2021-05-11","Gido van Tienhoven","Proposal","50%","","","","fixed","","","","","201775015","","","156-The Mall, Rawalpindi, Punjab, Pakistan., Pakistan","","2020FAUJ01","","","","","",""
"Value Fusion Consult S.P.C.","1.5Ton mini split ac explosion proof","","9655355","2020-06-10","2021-05-11","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-06-18","","201174514","","","","","2019VALU01, 2019VALU02","","","","","","Abandoned"
"Anwar Alseraj Engineering","10 + 12 ATEXXO units","","10971294","2021-04-27","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","213743228","","","Iraq","","2021ANWAR01 en 02 sams en daik","","","","","",""
"Joint Gulf Business (JGB) Corp.","10 1 ton AC voor saudi arabie","","10949538","2021-04-21","2021-04-30","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","206408833",""," +966 12 263 2889","Office No. 26, Fifth Floor, , Enjaz Commercial Business Center, , Tadamun Al-Arabi Street, West Amir Majed Street, , Jeddah-Saudi Arabia, Saudi Arabia","","","","","","","",""
"ESTN Comércio e Serviços (SU), Lda","10 ac voor minder dan 2500 us Dollar","","10816680","2021-03-17","2021-03-17","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","212295777","","","Luanda","","","","","","","",""
"Airco Refrigeration & Air Conditioning Ltd","10 kW wall mount Daikin (ATEXXO AIR-EX-FAQ-10)","","11322487","2021-07-28","2021-07-28","Gido van Tienhoven","New","10%","","","","fixed","","","","","200102275","","01482 587 038","Airco House Goulton Street Hull HU3 4DL United Kingdom, United Kingdom","","","","","","","",""
"United Electric Controls","10 to 100 antennes","","10548135","2021-01-07","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","209319293",""," +1 (617) 926-1000","180 Dexter Ave, Watertown, MA 02472,  , Route, United States","","","","","","","",""
"Aramco","10 window AC units explosion proof","","9585124","2020-05-21","2020-05-21","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-05-21","","200102776","","","Saudi Aramco, , Saudi Arabia, Saudi Arabia","","","","","","","","Abandoned"
"Global Exim Merchants","10 x AC en 15 x beacon","","10290507","2020-10-29","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","207053599","","","GLOBAL EXIM MERCHANTS, 17 OKO DAN STREET, OSU, ,  ACCRA, Ghana","","2020GLOBALEX01, BEAC2020GLOBALEX02","","","","","",""
"Motor Oil Hellas Corinth Refineries SA","10 x ultra sonore meters","","10162081","2020-09-23","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","200305478",""," +30.27410.48602 (ext. 2189)","71st klm old Nat.Rd Athens-Corinth, , Ag. Theodori – 20100 Corinth, Greece","","","","","","","",""
"SNS-tech","10 zone 1 access point","","9568443","2020-05-16","2021-05-11","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-05-16","","200102407","","HP: +65 87493376","22 Sin Ming Lane 06-76 Midview City Singapore 573969, Singapore","","geen zone 1 hebben we niet","","","","","",""
"Elsewedy Electric","1037-2020-AA-23026MA","","10427290","2020-11-23","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","208187070","","","Villa 370, South Academy (A), in front of ElSewedy Electric building beside the embassy of Rwanda, 90th north Street, 5th Settlement, New Cairo, Egypt","","2020ELSEWEDY01","","","","","",""
"Nawah Energy Company","10kW AC voor nucleair power plant","","10114359","2020-09-09","2020-09-09","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","204643346","","","Barakah Nuclear Power Plant,, Barakah,, Abu Dhabi,, United Arab Emirates","","","","","","","",""
